major,subcategory,category,product,label,extension,size_bytes,file_name,relative_path,original_name,source_id,local_path
예금상품공시,적립식예금,적립식예금,도전 루틴 적금,상품설명서,.pdf,295643,0130_도전 루틴 적금_상품설명서.pdf,예금상품공시\적립식예금\0130_도전 루틴 적금_상품설명서.pdf,18LB04P1L6KJ6V0UFSYP.pdf,18LB04P1L6KJ6V0UFSYP,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\예금상품공시\적립식예금\0130_도전 루틴 적금_상품설명서.pdf
예금상품공시,적립식예금,적립식예금,도전 루틴 적금,특약,.pdf,98381,0131_도전 루틴 적금_특약.pdf,예금상품공시\적립식예금\0131_도전 루틴 적금_특약.pdf,18LB04P1L6KJ6V0UEHVY.pdf,18LB04P1L6KJ6V0UEHVY,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\예금상품공시\적립식예금\0131_도전 루틴 적금_특약.pdf
예금상품공시,적립식예금,적립식예금,도전 루틴 적금,약관,.pdf,1126758,0132_도전 루틴 적금_약관.pdf,예금상품공시\적립식예금\0132_도전 루틴 적금_약관.pdf,1790207036KBDM0KE5RK.pdf,1790207036KBDM0KE5RK,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\예금상품공시\적립식예금\0132_도전 루틴 적금_약관.pdf
예금상품공시,입출금이자유로운예금,입출금이자유로운예금,씨드모아 통장,상품설명서,.pdf,153196,0371_씨드모아 통장_상품설명서.pdf,예금상품공시\입출금이자유로운예금\0371_씨드모아 통장_상품설명서.pdf,18LA04IWS6KJ6Q0LB2II.pdf,18LA04IWS6KJ6Q0LB2II,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\예금상품공시\입출금이자유로운예금\0371_씨드모아 통장_상품설명서.pdf
예금상품공시,입출금이자유로운예금,입출금이자유로운예금,씨드모아 통장,특약,.pdf,98062,0372_씨드모아 통장_특약.pdf,예금상품공시\입출금이자유로운예금\0372_씨드모아 통장_특약.pdf,18GT04P1L6KJ6V0JMZ99.pdf,18GT04P1L6KJ6V0JMZ99,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\예금상품공시\입출금이자유로운예금\0372_씨드모아 통장_특약.pdf
예금상품공시,입출금이자유로운예금,입출금이자유로운예금,씨드모아 통장,약관,.pdf,139038,0373_씨드모아 통장_약관.pdf,예금상품공시\입출금이자유로운예금\0373_씨드모아 통장_약관.pdf,17ZD04HAW6KBAO13DN4H.pdf,17ZD04HAW6KBAO13DN4H-0373,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\예금상품공시\입출금이자유로운예금\0373_씨드모아 통장_약관.pdf
예금상품공시,입출금이자유로운예금,입출금이자유로운예금,JB 주거래통장(보통),상품설명서,.pdf,168726,0261_JB 주거래통장(보통)_상품설명서.pdf,예금상품공시\입출금이자유로운예금\0261_JB 주거래통장(보통)_상품설명서.pdf,18GS04IU56KBD210B85V.pdf,18GS04IU56KBD210B85V-0261,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\예금상품공시\입출금이자유로운예금\0261_JB 주거래통장(보통)_상품설명서.pdf
예금상품공시,입출금이자유로운예금,입출금이자유로운예금,JB 주거래통장(보통),특약,.pdf,196993,0262_JB 주거래통장(보통)_특약.pdf,예금상품공시\입출금이자유로운예금\0262_JB 주거래통장(보통)_특약.pdf,18GS04IU56KBD215391K.pdf,18GS04IU56KBD215391K-0262,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\예금상품공시\입출금이자유로운예금\0262_JB 주거래통장(보통)_특약.pdf
예금상품공시,입출금이자유로운예금,입출금이자유로운예금,JB 주거래통장(보통),약관,.pdf,139038,0263_JB 주거래통장(보통)_약관.pdf,예금상품공시\입출금이자유로운예금\0263_JB 주거래통장(보통)_약관.pdf,17ZD04HAW6KBAO13DN4H.pdf,17ZD04HAW6KBAO13DN4H-0263,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\예금상품공시\입출금이자유로운예금\0263_JB 주거래통장(보통)_약관.pdf
예금상품공시,적립식예금,적립식예금,JB 청년도약계좌,상품설명서,.pdf,422522,0067_JB 청년도약계좌_상품설명서.pdf,예금상품공시\적립식예금\0067_JB 청년도약계좌_상품설명서.pdf,18E104JM96KBDY0OL3DP.pdf,18E104JM96KBDY0OL3DP,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\예금상품공시\적립식예금\0067_JB 청년도약계좌_상품설명서.pdf
예금상품공시,적립식예금,적립식예금,JB 청년도약계좌,특약,.pdf,240463,0068_JB 청년도약계좌_특약.pdf,예금상품공시\적립식예금\0068_JB 청년도약계좌_특약.pdf,18CM04FQW6KBDM0L9PDQ.pdf,18CM04FQW6KBDM0L9PDQ,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\예금상품공시\적립식예금\0068_JB 청년도약계좌_특약.pdf
예금상품공시,적립식예금,적립식예금,JB 청년도약계좌,약관,.pdf,1126758,0069_JB 청년도약계좌_약관.pdf,예금상품공시\적립식예금\0069_JB 청년도약계좌_약관.pdf,1790207036KBDM0KE5RK.pdf,1790207036KBDM0KE5RK-0069,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\예금상품공시\적립식예금\0069_JB 청년도약계좌_약관.pdf
예금상품공시,거치식예금,거치식예금,JB 참 괜찮은 정기예금,상품설명서,.pdf,248613,0184_JB 참 괜찮은 정기예금_상품설명서.pdf,예금상품공시\거치식예금\0184_JB 참 괜찮은 정기예금_상품설명서.pdf,18HI04HAW6KBCV0YY27O.pdf,18HI04HAW6KBCV0YY27O,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\예금상품공시\거치식예금\0184_JB 참 괜찮은 정기예금_상품설명서.pdf
예금상품공시,거치식예금,거치식예금,JB 참 괜찮은 정기예금,특약,.pdf,100233,0185_JB 참 괜찮은 정기예금_특약.pdf,예금상품공시\거치식예금\0185_JB 참 괜찮은 정기예금_특약.pdf,18HJ04HAW6KBCV0PV68H.pdf,18HJ04HAW6KBCV0PV68H,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\예금상품공시\거치식예금\0185_JB 참 괜찮은 정기예금_특약.pdf
예금상품공시,거치식예금,거치식예금,JB 참 괜찮은 정기예금,약관,.pdf,771376,0186_JB 참 괜찮은 정기예금_약관.pdf,예금상품공시\거치식예금\0186_JB 참 괜찮은 정기예금_약관.pdf,1790207036KBDM0KA5JB.pdf,1790207036KBDM0KA5JB-0186,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\예금상품공시\거치식예금\0186_JB 참 괜찮은 정기예금_약관.pdf
예금상품공시,거치식예금,거치식예금,JB 골든에이지 예금(월이자지급식),상품설명서,.pdf,259176,0178_JB 골든에이지 예금(월이자지급식)_상품설명서.pdf,예금상품공시\거치식예금\0178_JB 골든에이지 예금(월이자지급식)_상품설명서.pdf,18JJ04JM96KBDY0YP5NZ.pdf,18JJ04JM96KBDY0YP5NZ-0178,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\예금상품공시\거치식예금\0178_JB 골든에이지 예금(월이자지급식)_상품설명서.pdf
예금상품공시,거치식예금,거치식예금,JB 골든에이지 예금(월이자지급식),특약,.pdf,129033,0179_JB 골든에이지 예금(월이자지급식)_특약.pdf,예금상품공시\거치식예금\0179_JB 골든에이지 예금(월이자지급식)_특약.pdf,185704FQW6KBAT0YZ4MI.pdf,185704FQW6KBAT0YZ4MI-0179,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\예금상품공시\거치식예금\0179_JB 골든에이지 예금(월이자지급식)_특약.pdf
예금상품공시,거치식예금,거치식예금,JB 골든에이지 예금(월이자지급식),약관,.pdf,771376,0180_JB 골든에이지 예금(월이자지급식)_약관.pdf,예금상품공시\거치식예금\0180_JB 골든에이지 예금(월이자지급식)_약관.pdf,1790207036KBDM0KA5JB.pdf,1790207036KBDM0KA5JB-0180,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\예금상품공시\거치식예금\0180_JB 골든에이지 예금(월이자지급식)_약관.pdf
대출상품공시,가계신용대출,가계신용대출,JB 새희망홀씨Ⅱ대출,상품설명서,.pdf,927448,0510_JB 새희망홀씨Ⅱ대출_상품설명서.pdf,대출상품공시\가계신용대출\0510_JB 새희망홀씨Ⅱ대출_상품설명서.pdf,가계대출_상품설명서_251125.pdf,3a6deec806b180387f07e3f1d9ae6df6fd5466eb,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\대출상품공시\가계신용대출\0510_JB 새희망홀씨Ⅱ대출_상품설명서.pdf
대출상품공시,가계신용대출,가계신용대출,JB 새희망홀씨Ⅱ대출,상품주요내용,.pdf,173276,0511_JB 새희망홀씨Ⅱ대출_상품주요내용.pdf,대출상품공시\가계신용대출\0511_JB 새희망홀씨Ⅱ대출_상품주요내용.pdf,JB_새희망홀씨II_대출_(상품공시자료)_251201.pdf,1bebb776ee80105685c8e7a4f9ca2a85271a0f89,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\대출상품공시\가계신용대출\0511_JB 새희망홀씨Ⅱ대출_상품주요내용.pdf
대출상품공시,가계신용대출,가계신용대출,JB 새희망홀씨Ⅱ대출,약관,.pdf,189091,0512_JB 새희망홀씨Ⅱ대출_약관.pdf,대출상품공시\가계신용대출\0512_JB 새희망홀씨Ⅱ대출_약관.pdf,은행여신거래기본약관(가계용)_250123.pdf,5d9ff448fb56e74a8587f57df8b58de1eb333996,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\대출상품공시\가계신용대출\0512_JB 새희망홀씨Ⅱ대출_약관.pdf
대출상품공시,가계신용대출,가계신용대출,비상금대출II,상품설명서,.pdf,849971,0495_비상금대출II_상품설명서.pdf,대출상품공시\가계신용대출\0495_비상금대출II_상품설명서.pdf,가계대출_상품설명서.pdf,20523a35d0699324d4cea6035ddc3292d1d0a5f7,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\대출상품공시\가계신용대출\0495_비상금대출II_상품설명서.pdf
대출상품공시,가계신용대출,가계신용대출,비상금대출II,상품주요내용,.pdf,168958,0496_비상금대출II_상품주요내용.pdf,대출상품공시\가계신용대출\0496_비상금대출II_상품주요내용.pdf,비상금 대출II 공시자료.pdf,9a1cd9a33010c8b58ce6b797d421d5bfe1e2da77,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\대출상품공시\가계신용대출\0496_비상금대출II_상품주요내용.pdf
대출상품공시,가계신용대출,가계신용대출,비상금대출II,약관,.pdf,189091,0497_비상금대출II_약관.pdf,대출상품공시\가계신용대출\0497_비상금대출II_약관.pdf,은행여신거래기본약관(가계용)_250123.pdf,21c2694644444a59766a48a273e2972418d10653,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\대출상품공시\가계신용대출\0497_비상금대출II_약관.pdf
대출상품공시,가계주택담보대출,가계주택담보대출,JB 전세자금대출,상품설명서,.pdf,998747,0429_JB 전세자금대출_상품설명서.pdf,대출상품공시\가계주택담보대출\0429_JB 전세자금대출_상품설명서.pdf,전세자금대출_상품설명서_251125.pdf,22679bcb5d7b681c54b01be0886db7592432d681,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\대출상품공시\가계주택담보대출\0429_JB 전세자금대출_상품설명서.pdf
대출상품공시,가계주택담보대출,가계주택담보대출,JB 전세자금대출,상품주요내용,.pdf,173280,0430_JB 전세자금대출_상품주요내용.pdf,대출상품공시\가계주택담보대출\0430_JB 전세자금대출_상품주요내용.pdf,상품공시_JB_전세자금대출_260203.pdf,9158e8ecb780a000a1d8d8e7a4e8e69e9481a93b,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\대출상품공시\가계주택담보대출\0430_JB 전세자금대출_상품주요내용.pdf
대출상품공시,가계주택담보대출,가계주택담보대출,JB 전세자금대출,약관,.pdf,189091,0431_JB 전세자금대출_약관.pdf,대출상품공시\가계주택담보대출\0431_JB 전세자금대출_약관.pdf,은행여신거래기본약관(가계용)_250123.pdf,83922c440a0fa073e5ece757fd3f19fcc86aa9d0,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\대출상품공시\가계주택담보대출\0431_JB 전세자금대출_약관.pdf
대출상품공시,가계기타담보대출,가계기타담보대출,JB 청년전세자금대출,상품설명서,.pdf,998747,0474_JB 청년전세자금대출_상품설명서.pdf,대출상품공시\가계기타담보대출\0474_JB 청년전세자금대출_상품설명서.pdf,전세자금대출_상품설명서_251125.pdf,b9b6593756ab7f68c38f828fcba997edfbe3c7ed,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\대출상품공시\가계기타담보대출\0474_JB 청년전세자금대출_상품설명서.pdf
대출상품공시,가계기타담보대출,가계기타담보대출,JB 청년전세자금대출,상품주요내용,.pdf,108867,0475_JB 청년전세자금대출_상품주요내용.pdf,대출상품공시\가계기타담보대출\0475_JB 청년전세자금대출_상품주요내용.pdf,상품공시_JB_청년전세자금대출_250113.pdf,5c41e4702345447cbc3554422af6b83f59e297bb,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\대출상품공시\가계기타담보대출\0475_JB 청년전세자금대출_상품주요내용.pdf
대출상품공시,가계기타담보대출,가계기타담보대출,JB 청년전세자금대출,약관,.pdf,189091,0476_JB 청년전세자금대출_약관.pdf,대출상품공시\가계기타담보대출\0476_JB 청년전세자금대출_약관.pdf,은행여신거래기본약관(가계용)_250123.pdf,1edff17cd720c9879cadaaabf8133c156dde57b0,C:\Users\jimin\Desktop\JB_financal_dataset\jbbank_product_disclosures_20260528\대출상품공시\가계기타담보대출\0476_JB 청년전세자금대출_약관.pdf
